Date,"Average standard variable tariff (Large legacy suppliers)","Average standard variable tariff (Other suppliers)","Cheapest tariff (Large legacy suppliers)","Cheapest tariff (All suppliers)","Cheapest tariff (Basket)","Default tariff cap level"
28/01/2012," 1,020.16 "," 1,024.33 "," 915.27 "," 906.56 "," 947.56 ",
28/02/2012," 1,000.76 "," 1,017.41 "," 886.18 "," 878.10 "," 930.29 ",
28/03/2012," 997.25 "," 1,017.41 "," 886.18 "," 878.10 "," 936.54 ",
28/04/2012," 997.25 "," 1,017.35 "," 895.69 "," 878.10 "," 937.68 ",
28/05/2012," 997.25 "," 1,017.35 "," 895.69 "," 878.10 "," 929.78 ",
28/06/2012," 997.25 "," 1,032.16 "," 895.69 "," 895.69 "," 945.53 ",
28/07/2012," 997.25 "," 1,032.16 "," 895.69 "," 875.93 "," 928.99 ",
28/08/2012," 997.25 "," 1,030.02 "," 899.10 "," 875.93 "," 924.85 ",
28/09/2012," 997.25 "," 1,017.84 "," 901.47 "," 875.93 "," 931.04 ",
28/10/2012," 1,009.00 "," 1,020.51 "," 906.17 "," 893.85 "," 956.00 ",
28/11/2012," 1,030.78 "," 1,075.12 "," 958.21 "," 909.59 "," 997.71 ",
28/12/2012," 1,061.80 "," 1,087.65 "," 990.70 "," 909.59 "," 994.59 ",
28/01/2013," 1,074.42 "," 1,087.65 "," 957.18 "," 909.59 "," 990.81 ",
28/02/2013," 1,074.42 "," 1,119.05 "," 957.18 "," 909.59 "," 994.56 ",
28/03/2013," 1,074.42 "," 1,119.05 "," 966.54 "," 909.59 "," 995.50 ",
28/04/2013," 1,074.42 "," 1,119.05 "," 966.54 "," 909.59 "," 988.37 ",
28/05/2013," 1,074.43 "," 1,119.05 "," 966.54 "," 962.43 "," 997.77 ",
28/06/2013," 1,074.43 "," 1,119.05 "," 966.54 "," 769.95 "," 967.26 ",
28/07/2013," 1,074.45 "," 1,119.05 "," 984.68 "," 769.95 "," 974.82 ",
28/08/2013," 1,074.45 "," 1,119.05 "," 971.77 "," 769.95 "," 988.47 ",
28/09/2013," 1,074.45 "," 1,119.05 "," 971.77 "," 769.95 "," 979.55 ",
28/10/2013," 1,074.45 "," 1,127.02 "," 1,011.80 "," 769.95 "," 995.67 ",
28/11/2013," 1,105.94 "," 1,123.75 "," 993.40 "," 769.95 "," 992.26 ",
28/12/2013," 1,138.95 "," 1,123.75 "," 1,033.47 "," 769.95 "," 997.00 ",
28/01/2014," 1,145.84 "," 1,125.14 "," 1,033.47 "," 975.21 "," 1,013.73 ",
28/02/2014," 1,134.09 "," 1,128.76 "," 1,033.97 "," 966.34 "," 1,014.19 ",
28/03/2014," 1,128.10 "," 1,126.61 "," 1,024.79 "," 964.31 "," 1,016.25 ",
28/04/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 946.42 "," 995.26 ",
28/05/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 944.55 "," 995.13 ",
28/06/2014," 1,128.10 "," 1,129.62 "," 1,000.38 "," 944.55 "," 992.88 ",
28/07/2014," 1,128.10 "," 1,134.19 "," 1,000.38 "," 944.95 "," 976.39 ",
28/08/2014," 1,128.10 "," 1,127.79 "," 1,000.38 "," 943.43 "," 978.98 ",
28/09/2014," 1,128.10 "," 1,158.39 "," 960.90 "," 942.27 "," 972.34 ",
28/10/2014," 1,128.10 "," 1,131.80 "," 953.40 "," 931.02 "," 960.15 ",
28/11/2014," 1,128.10 "," 1,131.80 "," 921.88 "," 914.51 "," 947.94 ",
28/12/2014," 1,128.10 "," 1,130.51 "," 916.21 "," 906.14 "," 929.69 ",
28/01/2015," 1,124.33 "," 1,130.51 "," 875.40 "," 871.26 "," 895.39 ",
28/02/2015," 1,106.65 "," 1,110.84 "," 839.28 "," 839.28 "," 881.39 ",
28/03/2015," 1,106.65 "," 1,088.31 "," 836.99 "," 836.99 "," 892.38 ",
28/04/2015," 1,106.65 "," 1,075.32 "," 834.57 "," 834.57 "," 878.56 ",
28/05/2015," 1,102.28 "," 1,073.26 "," 835.19 "," 830.56 "," 877.12 ",
28/06/2015," 1,102.28 "," 1,073.26 "," 835.71 "," 830.56 "," 871.21 ",
28/07/2015," 1,102.28 "," 1,066.77 "," 863.85 "," 830.56 "," 867.88 ",
28/08/2015," 1,098.03 "," 1,066.77 "," 876.03 "," 830.56 "," 868.79 ",
28/09/2015," 1,098.03 "," 1,054.98 "," 876.03 "," 830.56 "," 858.62 ",
28/10/2015," 1,098.03 "," 1,050.12 "," 803.00 "," 793.93 "," 823.00 ",
28/11/2015," 1,098.03 "," 1,040.70 "," 805.40 "," 787.05 "," 810.84 ",
28/12/2015," 1,098.03 "," 1,039.03 "," 850.52 "," 787.05 "," 803.86 ",
28/01/2016," 1,098.03 "," 1,035.48 "," 769.69 "," 765.00 "," 785.04 ",
28/02/2016," 1,092.69 "," 1,020.06 "," 738.38 "," 738.38 "," 755.65 ",
28/03/2016," 1,071.44 "," 1,013.00 "," 727.70 "," 727.70 "," 756.05 ",
28/04/2016," 1,065.97 "," 978.55 "," 723.91 "," 723.91 "," 751.58 ",
28/05/2016," 1,065.97 "," 976.04 "," 723.23 "," 723.23 "," 742.71 ",
28/06/2016," 1,065.97 "," 984.02 "," 723.23 "," 723.23 "," 751.36 ",
28/07/2016," 1,065.97 "," 988.70 "," 779.39 "," 758.31 "," 779.72 ",
28/08/2016," 1,065.97 "," 983.86 "," 801.37 "," 769.65 "," 789.25 ",
28/09/2016," 1,065.97 "," 983.89 "," 754.64 "," 744.30 "," 777.00 ",
28/10/2016," 1,065.97 "," 994.93 "," 803.54 "," 741.92 "," 786.41 ",
28/11/2016," 1,065.97 "," 1,012.84 "," 897.18 "," 790.02 "," 859.23 ",
28/12/2016," 1,065.97 "," 1,019.72 "," 951.51 "," 790.02 "," 872.16 ",
28/01/2017," 1,061.06 "," 1,020.10 "," 951.51 "," 833.71 "," 881.11 ",
28/02/2017," 1,081.27 "," 1,027.06 "," 928.48 "," 829.10 "," 869.79 ",
28/03/2017," 1,109.48 "," 1,035.47 "," 922.23 "," 829.10 "," 873.38 ",
28/04/2017," 1,122.28 "," 1,041.56 "," 923.55 "," 863.31 "," 874.62 ",
28/05/2017," 1,122.28 "," 1,039.22 "," 923.57 "," 826.52 "," 861.76 ",
28/06/2017," 1,122.28 "," 1,026.98 "," 923.57 "," 835.76 "," 852.58 ",
28/07/2017," 1,122.28 "," 1,030.63 "," 922.82 "," 829.91 "," 844.94 ",
28/08/2017," 1,122.28 "," 1,030.76 "," 910.05 "," 810.11 "," 839.30 ",
28/09/2017," 1,134.95 "," 1,026.42 "," 904.48 "," 826.73 "," 837.66 ",
28/10/2017," 1,134.95 "," 1,031.41 "," 897.98 "," 826.73 "," 854.69 ",
28/11/2017," 1,134.95 "," 1,044.84 "," 928.59 "," 826.73 "," 846.77 ",
28/12/2017," 1,134.95 "," 1,040.86 "," 973.04 "," 798.72 "," 841.48 ",
28/01/2018," 1,134.95 "," 1,036.14 "," 907.89 "," 809.32 "," 840.81 ",
28/02/2018," 1,134.95 "," 1,039.85 "," 900.98 "," 810.06 "," 840.58 ",
28/03/2018," 1,134.95 "," 1,044.29 "," 900.98 "," 810.11 "," 842.91 ",
28/04/2018," 1,138.28 "," 1,061.81 "," 1,000.42 "," 788.16 "," 820.46 ",
28/05/2018," 1,138.28 "," 1,060.56 "," 962.53 "," 788.16 "," 832.69 ",
28/06/2018," 1,172.20 "," 1,066.39 "," 953.16 "," 796.99 "," 845.91 ",
28/07/2018," 1,184.79 "," 1,075.35 "," 965.27 "," 826.73 "," 861.22 ",
28/08/2018," 1,194.00 "," 1,091.02 "," 951.33 "," 842.49 "," 897.02 ",
28/09/2018," 1,205.62 "," 1,104.91 "," 1,043.21 "," 920.60 "," 982.09 ",
28/10/2018," 1,220.65 "," 1,124.27 "," 1,051.27 "," 920.60 "," 989.84 ",
28/11/2018," 1,220.65 "," 1,140.97 "," 1,030.12 "," 946.13 "," 993.80 ",
28/12/2018," 1,220.65 "," 1,142.96 "," 1,034.69 "," 902.66 "," 983.19 ",
28/01/2019," 1,136.67 "," 1,099.49 "," 1,035.63 "," 941.26 "," 992.85 "," 1,137.47 "
28/02/2019," 1,136.67 "," 1,097.67 "," 1,008.69 "," 929.66 "," 974.58 "," 1,137.47 "
28/03/2019," 1,136.67 "," 1,094.87 "," 1,011.22 "," 891.94 "," 945.99 "," 1,137.47 "
28/04/2019," 1,253.94 "," 1,152.11 "," 1,024.59 "," 880.20 "," 929.55 "," 1,254.00 "
28/05/2019," 1,253.94 "," 1,153.58 "," 943.25 "," 872.57 "," 922.45 "," 1,254.00 "
28/06/2019," 1,253.94 "," 1,148.88 "," 932.24 "," 872.57 "," 897.80 "," 1,254.00 "
28/07/2019,"1,253.99","1,142.74",989.24,846.34,890.44," 1,254.00 "
28/08/2019,"1,253.99","1,144.20",949.41,846.34,893.22,"1,254.00"
28/09/2019,"1,253.99","1,144.19",931.39,863.99,903.75,"1,254.00"
28/10/2019,"1,177.79","1,099.89",914.31,863.99,893.75,"1,179.00"
28/11/2019,"1,177.79",1099.80,890.08,846.04,873.39,"1,179.00"
28/12/2019,"1,177.79",1099.92,903.02,828.77,872.34,"1,179.00"
28/01/2020,"1,177.63","1,094.00",872.49,813.70,840.52,"1,179.00"
28/02/2020,"1,177.47","1,093.96",843.14,784.38,815.50,"1,179.00"
28/03/2020,"1,175.93","1,079.21",835.30,781.99,805.09,"1,179.00"
28/04/2020,"1,125.05","1,028.23",806.35,757.96,783.38,"1,127.00"
28/05/2020,"1,125.05","1,049.68",807.72,764.10,790.88,"1,127.00"
28/06/2020,"1,125.05","1,049.60",819.32,787.50,804.07,"1,127.00"
28/07/2020,"1,125.35","1,049.68",851.44,787.50,812.48,"1,127.00"
28/08/2020,"1,125.05","1,021.90",853.66,787.50,806.62,"1,127.00"
28/09/2020,1125.05,1015.55,853.66,797.64,837.26,"1,127.00"
28/10/2020,1041.93,995.49,853.66,822.68,854.39,"1,042.00"
