"Category","Core Group","Broader Group","Industry Initiatives"
"Avro Energy",252280,1788220,452301
"Bristol Energy*",633220,,
"British Gas",39067420,40775140,9907661
"Bulb Energy",2224600,6157760,303196
"Co-operative Energy",851340,,2700136
"E Energy",243040,1142400,208849
"E.ON Energy",22238720,20449240,5034510
"EDF Energy",17653440,17619140,2629807
"Green Network Energy",334460,631260,906593
"Green Star Energy",1044540,998900,870292
"Npower Group",13315260,12977440,3165492
"Octopus",1023400,3070900,399919
"Ovo Energy",2767800,8251880,
"Robin Hood Energy**",309820,,
"Scottish Power",13734840,15448580,3833651
"Shell Energy",3035200,4489800,1154347
"SSE Energy",25590460,19709620,4758770
"Utilita",3127460,5041400,
"Utility Warehouse",2012220,3395840,805490